date,open,high,close,low,volume,amount,turnover_rate,p_change,review_pc,amplitude,MACD,DIFF,DEM,ema_quick,ema_slow,K,D,J,MACD_d,DIFF_d,DEM_d,K_d
2018-01-05,17.006,17.126,17.013,16.93,17521.0,29808477.3,0.663674242424,-0.398103155553,-0.223358608123,1.15206018927,0.204714817066,-0.235607908644,-0.337965317176,16.8810178698,17.1166257784,44.9425159218,48.047637455,38.7322728555,0.0700132214887,-0.120520527603,-0.0703865313622,-0.0280661770574
2018-01-08,16.93,16.99,16.975,16.688,20986.0,35623735.0,0.794924242424,-0.223358608123,-0.441826215022,1.77908689249,0.203691193917,-0.210658320979,-0.312503917937,16.8954766591,17.10613498,61.6393814755,52.5782187951,79.7617068361,-0.00500023966891,-0.105894525395,-0.0753373140543,0.371516040239
2018-01-09,16.915,17.172,16.9,16.877,15186.0,25664340.0,0.575227272727,-0.441826215022,-2.41420118343,1.74556213018,0.188497205352,-0.194693164592,-0.288941767268,16.8961725577,17.0908657223,43.6917910401,49.6160762101,31.8432207001,-0.0745932520309,-0.075786972538,-0.075397936847,-0.291170839254
2018-01-10,16.794,16.854,16.492,16.34,23251.0,38345549.2,0.88071969697,-2.41420118343,0.958040261945,3.1166626243,0.122285812896,-0.212513134208,-0.273656040656,16.8339921642,17.0465052984,38.9851888387,46.0724470863,24.8106723434,-0.351259279056,0.0915284809995,-0.0529024472874,-0.107722803058
2018-01-11,16.492,16.847,16.65,16.333,18806.0,31311990.0,0.712348484848,0.958040261945,-1.31531531532,3.08708708709,0.0995314919918,-0.211448858161,-0.261214604157,16.8056856774,17.0171345355,46.5478431428,46.2309124385,47.1817045514,-0.186074904075,-0.00500804832948,-0.0454637744124,0.193987884357
2018-01-12,16.65,16.741,16.431,16.424,15183.0,24947187.3,0.575113636364,-1.31531531532,-2.16055017954,1.92928001948,0.0568626698123,-0.225675435524,-0.25410677043,16.748041727,16.9737171625,31.7679627261,41.409929201,12.4840297763,-0.428696700167,0.0672814102047,-0.0272107057317,-0.317520198978
2018-01-15,16.476,16.545,16.076,16.015,18699.0,30060512.4,0.708295454545,-2.16055017954,1.08235879572,3.29684000995,-0.013539411878,-0.262568902854,-0.255799196915,16.6446506921,16.9072195949,25.0151198048,35.9449927356,3.15537394323,-1.2381072138,0.163480208842,0.00666029670082,-0.21256770475
2018-01-16,16.083,16.288,16.25,16.061,12898.0,20959250.0,0.488560606061,1.08235879572,2.18461538462,1.39692307692,-0.0300836225135,-0.274601460986,-0.259559649729,16.583935201,16.858536662,44.4300505013,38.7733453242,55.7434608556,1.22192978429,0.0458262878853,0.0147007999225,0.776127831806
2018-01-17,16.212,16.764,16.605,16.174,27560.0,45763380.0,1.04393939394,2.18461538462,0.728696175851,3.55314664258,0.0111670728504,-0.252580229198,-0.258163765623,16.5871759393,16.8397561685,53.9703161534,43.8390022673,74.2329439257,-1.37120106946,-0.0801934254434,-0.00537789331952,0.214725518978
2018-01-18,16.696,17.308,16.726,16.628,41311.0,69096778.6,1.56481060606,0.728696175851,-1.62621068994,4.06552672486,0.0565879473221,-0.222796298547,-0.251090272208,16.6085334871,16.8313297857,40.7841323376,42.8207122907,36.7109724313,4.06739304744,-0.11791869358,-0.0273992494578,-0.244322893688
