,date,MACD_d,open,close,high,low,volume,ema_slow,ema_quick,DEM,DIFF,MACD,code,diff
308,2018-01-02,22.6417837388,11079.64,11178.05,11178.05,11072.87,163737774.0,11076.3322332,11044.7867693,-50.6309243126,-31.5454639169,38.1709207913,sz,-31.5454639169
309,2018-01-03,26.1643458563,11181.18,11280.3,11316.46,11171.12,198404750.0,11091.4409567,11081.019574,-42.5890159816,-10.4213826578,64.3352666476,sz,-10.4213826578
310,2018-01-04,21.595432719,11270.91,11341.35,11341.35,11259.46,180376491.0,11109.9527377,11121.0704088,-31.8476785608,11.1176711225,85.9306993666,sz,11.1176711225
311,2018-01-05,9.8031210046,11339.57,11342.85,11372.29,11310.29,187950133.0,11127.2043867,11155.1903459,-19.8809510144,27.9859591712,95.7338203712,sz,27.9859591712
312,2018-01-08,6.57720345492,11343.82,11382.72,11386.04,11287.6,203604071.0,11146.1314692,11190.1949081,-7.09207303613,44.0634388769,102.311023826,sz,44.0634388769
313,2018-01-09,7.10435096613,11371.93,11447.09,11449.6,11358.13,184081836.0,11168.4246937,11229.7172299,6.5848488129,61.292536209,109.415374792,sz,61.292536209
314,2018-01-10,-2.68056044453,11439.22,11437.08,11446.41,11345.1,196342709.0,11188.3250867,11261.6191945,19.9267006064,73.2941077802,106.734814348,sz,73.2941077802
315,2018-01-11,-4.17720446061,11411.58,11464.2,11482.81,11372.36,189897902.0,11208.7602655,11292.7854723,32.7464018422,84.0252067858,102.557609887,sz,84.0252067858
316,2018-01-12,-8.8735896725,11459.46,11461.99,11496.53,11420.26,186021470.0,11227.5180236,11318.8169381,44.4569043691,91.2989144764,93.6840202146,sz,91.2989144764
317,2018-01-15,-31.0069626435,11453.33,11307.46,11476.58,11277.31,224433734.0,11233.4396515,11317.0697168,52.2915365655,83.630065351,62.6770575711,sz,83.630065351
318,2018-01-16,-13.533035541,11283.6,11386.91,11402.46,11283.29,192863411.0,11244.8078255,11327.8143758,58.4345393192,83.0065503343,49.1440220301,sz,83.0065503343
319,2018-01-17,-22.7100024958,11366.6,11303.97,11367.16,11185.92,213515921.0,11249.1902088,11324.1460103,61.738791761,74.9558015282,26.4340195343,sz,74.9558015282
320,2018-01-18,-14.7111190193,11287.64,11319.91,11375.11,11279.42,155610115.0,11254.4287118,11323.4943164,63.2041543254,69.0656045829,11.722900515,sz,69.0656045829
321,2018-01-19,-14.0049177818,11314.46,11296.27,11393.04,11276.57,183429288.0,11257.5280665,11319.30596,62.918902167,61.7778935337,-2.28201726675,sz,61.7778935337
322,2018-01-22,17.8669921135,11289.86,11513.08,11513.08,11273.69,181074818.0,11276.4578393,11349.1173508,64.8670240229,72.6595114463,15.5849748468,sz,72.6595114463
323,2018-01-23,14.5813155956,11514.56,11555.25,11564.95,11493.74,174188769.0,11297.1091105,11380.8300661,68.6378103282,83.7209555494,30.1662904424,sz,83.7209555494
324,2018-01-24,12.9842840478,11548.21,11607.57,11613.96,11456.26,210735223.0,11320.1062134,11415.7131328,74.0316321395,95.6069193845,43.1505744902,sz,95.6069193845
325,2018-01-25,-2.49481061478,11588.38,11552.56,11633.46,11548.68,213762239.0,11337.3250124,11436.766497,79.1136026239,99.4414845616,40.6557638754,sz,99.4414845616
326,2018-01-26,-4.46610668761,11524.7,11557.82,11605.13,11512.94,175611738.0,11353.6579745,11455.3901128,83.6373097724,101.732138366,36.1896571878,sz,101.732138366
327,2018-01-29,-32.3994072538,11547.68,11352.72,11556.65,11323.69,199666078.0,11353.5884949,11439.5947109,84.1110910141,86.0062159811,3.79024993401,sz,86.0062159811
328,2018-01-30,-31.4770175986,11319.97,11278.78,11370.0,11260.31,157973243.0,11348.0471249,11414.8539861,80.650245056,66.8068612237,-27.6867676646,sz,66.8068612237
329,2018-01-31,-34.9497120086,11210.06,11159.68,11244.18,11119.32,194794973.0,11334.0940045,11375.5964498,72.8206850969,41.5024452603,-62.6364796732,sz,41.5024452603
330,2018-02-01,-57.6458968676,11145.41,10864.34,11171.36,10836.35,224818677.0,11299.2974116,11296.9416114,57.7853880293,-2.3558002411,-120.282376541,sz,-2.3558002411
331,2018-02-02,-23.1167865126,10794.13,10925.16,10933.16,10663.54,184626569.0,11271.5835293,11239.7444404,39.8604926476,-31.8390888791,-143.399163053,sz,-31.8390888791
332,2018-02-05,-19.046790842,10761.08,10836.25,10873.24,10741.85,148705223.0,11239.3366012,11177.6683726,19.5547484107,-61.6682285369,-162.445953895,sz,-61.6682285369
333,2018-02-06,-62.3176946535,10603.54,10377.61,10685.16,10377.61,196877410.0,11175.5050011,11054.5824692,-8.54070765789,-120.922531932,-224.763648549,sz,-120.922531932
334,2018-02-07,-43.7955930526,10563.31,10246.97,10599.54,10173.66,185364908.0,11106.7246306,10930.334397,-42.1106128581,-176.390233659,-268.559241601,sz,-176.390233659
335,2018-02-08,3.4294686501,10219.39,10372.59,10411.2,10219.21,154429802.0,11052.3442876,10844.5275667,-75.251834477,-207.816720953,-265.129772951,sz,-207.816720953
336,2018-02-09,-29.9784767351,10096.46,10001.23,10172.78,9868.83,193571354.0,10974.48397,10714.7894795,-112.140365688,-259.694490531,-295.108249686,sz,-259.694490531
337,2018-02-12,35.8220662476,10059.86,10291.88,10325.68,10059.86,144996154.0,10923.920713,10649.7264826,-144.551138618,-274.194230337,-259.286183439,sz,-274.194230337
338,2018-02-13,47.6851499627,10367.68,10362.43,10486.81,10350.17,142167333.0,10882.3288083,10605.5270238,-171.001267802,-276.80178454,-211.601033476,sz,-276.80178454
339,2018-02-14,52.9666784094,10381.16,10431.91,10433.09,10319.15,100082438.0,10848.9644521,10578.8167124,-190.830562186,-270.147739719,-158.634355067,sz,-270.147739719
340,2018-02-22,73.9709429666,10547.81,10658.94,10667.8,10526.98,136170478.0,10834.8885668,10591.1433721,-201.413488698,-243.745194748,-84.6634121002,sz,-243.745194748
341,2018-02-23,54.9656426295,10667.81,10662.79,10700.11,10578.79,140530855.0,10822.1405248,10602.1659302,-205.125709882,-219.974594617,-29.6977694707,sz,-219.974594617
342,2018-02-26,69.4580651852,10731.31,10895.56,10920.21,10670.17,200183490.0,10827.5790045,10647.3034794,-200.155672918,-180.27552506,39.7602957145,sz,-180.27552506
